Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Agressive_Target,Predicted_Agressive_Target,Actual_Profit,Actual_Aggressive_profit,PAT_Profit_100,PAT_D_Profit_100,PAT_Loss_100,Target_Predicted_Aggressive_100_Defence_Target,PAT_Profit_Timestamp_100,PAT_D_Profit_Timestamp_100,PAT_Loss_Timestamp_100,Actual_Loss,PAT_Profit_Duration,PAT_D_Profit_Duration,PAT_Loss_Duration
9/2/2024 23:20,5715.25,5715.5,5714.5,5715.5,5658,5616.5,5614.75,5614,5613.25,5710.5,5712,5712.25,5712.75,5714,5715.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:00,5715,5716.25,5714.25,5716.25,5658,5616.5,5614.75,5614,5613.25,5712,5712.25,5712.75,5714,5714.25,5716.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:10,5713.25,5715,5712.75,5714.75,5658,5616.5,5614.75,5614,5613.25,5712.25,5712.75,5714,5714.25,5714.5,0,5714.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:30,5711.25,5712.75,5707.5,5712.75,5658,5616.5,5614.75,5614,5613.25,5707.5,5712.25,5712.75,5714,5714.25,0,5712.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:35,5712.75,5714.25,5712.75,5713.25,5658,5616.5,5614.75,5614,5613.25,5707.5,5712.25,5712.75,5714,5714.25,5713.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:40,5713,5715.5,5713,5715,5658,5616.5,5614.75,5614,5613.25,5707.5,5712.25,5712.75,5713,5714,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:45,5715,5716,5714.5,5715.5,5658,5616.5,5614.75,5614,5613.25,5712.25,5712.75,5713,5714,5714.5,5715.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 0:50,5715.5,5717.75,5715.25,5716.75,5658,5616.5,5614.75,5614,5613.25,5712.75,5713,5714,5714.5,5715.25,5716.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 1:05,5716,5723,5716,5722.25,5658,5616.5,5614.75,5614,5613.25,5713,5714,5714.5,5715.25,5716,5722.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 1:10,5722,5724.25,5720,5723,5658,5616.5,5614.75,5614,5613.25,5714,5714.5,5715.25,5716,5720,5723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 1:15,5723.25,5724,5722.25,5723.25,5658,5616.5,5614.75,5614,5613.25,5714,5714.5,5715.25,5716,5720,5723.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 1:45,5723.75,5727,5723.25,5726.5,5658,5616.5,5614.75,5614,5613.25,5714,5714.5,5715.25,5716,5720,5726.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 2:05,5723.25,5725.25,5723,5723.25,5658,5616.5,5614.75,5614,5613.25,5714,5714.5,5715.25,5716,5720,0,5723.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 3:05,5700.25,5703.25,5698.75,5702.25,5658,5616.5,5614.75,5614,5613.25,5714,5714.5,5715.25,5716,5720,0,5702.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 3:40,5695.75,5697.25,5695,5696.5,5658,5616.5,5614.75,5614,5613.25,5714,5714.5,5715.25,5716,5720,0,5696.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 4:15,5688.5,5693.25,5687.75,5692.5,5658,5616.5,5614.75,5614,5613.25,5687.75,5714,5714.5,5715.25,5716,0,5692.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 4:30,5690.5,5695,5690.5,5694.25,5658,5616.5,5614.75,5614,5613.25,5687.75,5690.5,5714,5714.5,5715.25,5694.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
9/3/2024 4:55,5694.25,5697,5693.75,5696.5,5658,5616.5,5614.75,5614,5613.25,5687.75,5690.5,5693.75,5714,5714.5,5696.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
