Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Ideal_Target,Predicted_Ideal_Target,Actual_Profit,Actual_ideal_profit,PIT_Profit_100,PIT_D_Profit_100,PIT_Loss_100,PIT_Defence_Target_100,PIT_Profit_Timestamp_100,PIT_D_Profit_Timestamp_100,PIT_Loss_Timestamp_100,Actual_Loss,PIT_Profit_Duration,PIT_D_Profit_Duration,PIT_Loss_Duration
6/17/2024 18:10,119.17,119.18,119.17,119.18,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 18:15,119.18,119.19,119.18,119.18,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 18:20,119.18,119.18,119.17,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 18:25,119.17,119.18,119.17,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 18:30,119.18,119.18,119.17,119.17,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 18:35,119.17,119.18,119.17,119.18,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 18:40,119.18,119.18,119.18,119.18,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 18:45,119.18,119.18,119.17,119.18,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 18:50,119.18,119.19,119.18,119.19,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 18:55,119.19,119.19,119.19,119.19,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:00,119.2,119.2,119.19,119.19,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:05,119.2,119.2,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 19:10,119.2,119.2,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:15,119.2,119.21,119.2,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 19:20,119.21,119.21,119.21,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:25,119.21,119.21,119.21,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:30,119.21,119.22,119.2,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:35,119.21,119.21,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 19:40,119.21,119.21,119.21,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 19:45,119.21,119.21,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 19:50,119.2,119.2,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 19:55,119.2,119.2,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 20:00,119.2,119.2,119.2,119.2,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 20:05,119.2,119.22,119.2,119.22,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 20:10,119.21,119.22,119.21,119.22,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0
6/17/2024 20:15,119.21,119.21,119.21,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 20:20,119.21,119.22,119.21,119.22,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 20:25,119.22,119.22,119.21,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 20:30,119.22,119.22,119.21,119.22,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,119.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/17/2024 20:35,119.22,119.23,119.21,119.21,119.21,119.2,119.19,119.18,119.17,119.09,119.12,119.31,120.01,120.02,0,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
